"customer_id","recency_days","frequency","monetary","r_score","f_score","m_score","rfm_score","segment"
"18051.0",633,7,2282.28,4,4,3,11,"Champions"
"15260.0",99,25,9188.23,3,4,4,11,"Champions"
"14028.0",549,3,10396.50,4,3,4,11,"Champions"
"17550.0",196,9,2547.64,3,4,4,11,"Champions"
"13631.0",99,11,3070.42,3,4,4,11,"Champions"
"15182.0",153,11,2998.95,3,4,4,11,"Champions"
"17145.0",512,4,3120.91,4,3,4,11,"Champions"
"15658.0",189,8,2423.47,3,4,4,11,"Champions"
"14625.0",195,11,4497.88,3,4,4,11,"Champions"
"16456.0",98,13,6862.91,3,4,4,11,"Champions"
"16636.0",437,4,3802.04,4,3,4,11,"Champions"
"16631.0",481,7,1892.52,4,4,3,11,"Champions"
"14770.0",231,8,3637.64,3,4,4,11,"Champions"
"13902.0",631,5,34095.26,4,3,4,11,"Champions"
"14745.0",112,12,2571.81,3,4,4,11,"Champions"
"18087.0",97,17,14761.52,3,4,4,11,"Champions"
"17774.0",96,9,3328.05,3,4,4,11,"Champions"
"17085.0",122,28,7891.41,3,4,4,11,"Champions"
"14548.0",150,9,2627.49,3,4,4,11,"Champions"
"13615.0",318,8,6272.53,3,4,4,11,"Champions"
"15222.0",318,11,3550.91,3,4,4,11,"Champions"
"13931.0",95,11,5257.38,3,4,4,11,"Champions"
"15581.0",120,38,7794.59,3,4,4,11,"Champions"
"14532.0",235,11,3859.18,3,4,4,11,"Champions"
"15079.0",212,11,3767.35,3,4,4,11,"Champions"
"15173.0",380,7,1494.60,4,4,3,11,"Champions"
"17400.0",125,8,4677.05,3,4,4,11,"Champions"
"18073.0",113,12,3877.52,3,4,4,11,"Champions"
"16197.0",468,9,2016.71,4,4,3,11,"Champions"
"16858.0",368,10,4668.28,3,4,4,11,"Champions"
"15538.0",537,6,3358.40,4,3,4,11,"Champions"
"13851.0",95,8,4606.46,3,4,4,11,"Champions"
"13027.0",113,19,17335.20,3,4,4,11,"Champions"
"16503.0",106,11,3614.34,3,4,4,11,"Champions"
"14461.0",147,13,6713.50,3,4,4,11,"Champions"
"15716.0",145,11,3056.81,3,4,4,11,"Champions"
"13715.0",280,17,8483.29,3,4,4,11,"Champions"
"14817.0",199,7,3959.86,3,4,4,11,"Champions"
"14758.0",144,7,2864.97,3,4,4,11,"Champions"
"17646.0",218,12,4149.79,3,4,4,11,"Champions"
"13152.0",416,7,2146.38,4,4,3,11,"Champions"
"12840.0",143,7,4041.97,3,4,4,11,"Champions"
"12932.0",538,8,1698.56,4,4,3,11,"Champions"
"15002.0",115,9,4817.28,3,4,4,11,"Champions"
"16883.0",186,19,2396.59,3,4,4,11,"Champions"
"14081.0",301,10,5370.10,3,4,4,11,"Champions"
"12346.0",325,12,77556.46,3,4,4,11,"Champions"
"13564.0",143,37,17249.55,3,4,4,11,"Champions"
"12510.0",142,9,5178.02,3,4,4,11,"Champions"
"16202.0",360,9,2501.99,3,4,4,11,"Champions"
"15623.0",140,8,2437.05,3,4,4,11,"Champions"
"12872.0",326,12,3685.49,3,4,4,11,"Champions"
"15141.0",457,7,1388.47,4,4,3,11,"Champions"
"12802.0",186,7,2416.42,3,4,4,11,"Champions"
"18231.0",191,28,6880.97,3,4,4,11,"Champions"
"15013.0",487,10,1641.30,4,4,3,11,"Champions"
"12755.0",280,11,9030.66,3,4,4,11,"Champions"
"16736.0",505,5,2956.56,4,3,4,11,"Champions"
"17508.0",280,8,4579.23,3,4,4,11,"Champions"
"13485.0",232,11,3019.22,3,4,4,11,"Champions"
"12976.0",211,8,3156.38,3,4,4,11,"Champions"
"17994.0",121,11,2313.32,3,4,4,11,"Champions"
"14867.0",185,16,2952.06,3,4,4,11,"Champions"
"15235.0",217,16,2937.81,3,4,4,11,"Champions"
"13802.0",138,19,26259.11,3,4,4,11,"Champions"
"12916.0",138,7,4654.02,3,4,4,11,"Champions"
"16199.0",391,7,942.75,4,4,3,11,"Champions"
"15751.0",460,11,1380.44,4,4,3,11,"Champions"
"14740.0",196,11,4161.06,3,4,4,11,"Champions"
"15911.0",623,8,1702.34,4,4,3,11,"Champions"
"13037.0",137,12,3914.95,3,4,4,11,"Champions"
"15614.0",437,4,3147.36,4,3,4,11,"Champions"
"14210.0",105,16,5861.52,3,4,4,11,"Champions"
"15372.0",136,8,6017.06,3,4,4,11,"Champions"
"12982.0",242,8,2744.81,3,4,4,11,"Champions"
"12853.0",134,11,3907.50,3,4,4,11,"Champions"
"15122.0",113,11,4497.47,3,4,4,11,"Champions"
"17409.0",184,10,7793.51,3,4,4,11,"Champions"
"17406.0",332,13,4905.05,3,4,4,11,"Champions"
"17931.0",133,14,3437.29,3,4,4,11,"Champions"
"16351.0",332,13,3330.03,3,4,4,11,"Champions"
"13214.0",417,7,3264.23,4,3,4,11,"Champions"
"15100.0",333,7,2894.70,3,4,4,11,"Champions"
"13280.0",121,7,2322.63,3,4,4,11,"Champions"
"17146.0",105,13,5860.24,3,4,4,11,"Champions"
"15413.0",691,5,6798.72,4,3,4,11,"Champions"
"13440.0",422,7,1295.25,4,4,3,11,"Champions"
"17726.0",394,7,1092.06,4,4,3,11,"Champions"
"15641.0",104,12,5345.55,3,4,4,11,"Champions"
"14492.0",429,7,1921.91,4,4,3,11,"Champions"
"15245.0",133,8,4610.84,3,4,4,11,"Champions"
"18064.0",132,11,4495.03,3,4,4,11,"Champions"
"13722.0",131,10,5635.41,3,4,4,11,"Champions"
"13952.0",217,14,12823.52,3,4,4,11,"Champions"
"16467.0",508,7,2869.16,4,3,4,11,"Champions"
"14573.0",179,13,2621.42,3,4,4,11,"Champions"
"15985.0",122,7,2715.28,3,4,4,11,"Champions"
"18168.0",175,16,3770.27,3,4,4,11,"Champions"
"17204.0",174,9,5504.69,3,4,4,11,"Champions"
"15808.0",305,21,18409.93,3,4,4,11,"Champions"
"14918.0",115,9,5955.81,3,4,4,11,"Champions"
"18178.0",128,11,6103.74,3,4,4,11,"Champions"
"17897.0",172,9,2585.00,3,4,4,11,"Champions"
"12643.0",127,12,8350.42,3,4,4,11,"Champions"
"18260.0",172,23,9962.11,3,4,4,11,"Champions"
"12758.0",116,7,9903.24,3,4,4,11,"Champions"
"17457.0",126,14,5984.81,3,4,4,11,"Champions"
"15032.0",255,8,13780.65,3,4,4,11,"Champions"
"17850.0",371,155,56600.08,3,4,4,11,"Champions"
"13963.0",307,17,3011.87,3,4,4,11,"Champions"
"14344.0",126,20,3333.70,3,4,4,11,"Champions"
"17113.0",573,6,2322.59,4,3,4,11,"Champions"
"16550.0",108,18,9435.13,3,4,4,11,"Champions"
"12422.0",95,17,5231.80,3,4,4,11,"Champions"
"13659.0",205,12,4894.88,3,4,4,11,"Champions"
"16336.0",420,4,3517.69,4,3,4,11,"Champions"
"17692.0",126,12,2975.80,3,4,4,11,"Champions"
"17504.0",205,18,9565.12,3,4,4,11,"Champions"
"17083.0",108,9,4049.79,3,4,4,11,"Champions"
"13929.0",168,11,3494.10,3,4,4,11,"Champions"
"14364.0",108,8,3717.35,3,4,4,11,"Champions"
"15569.0",103,10,3586.35,3,4,4,11,"Champions"
"13734.0",508,4,6701.64,4,3,4,11,"Champions"
"14045.0",108,16,11313.03,3,4,4,11,"Champions"
"16754.0",371,29,67502.47,3,4,4,11,"Champions"
"16755.0",113,7,2900.58,3,4,4,11,"Champions"
"15379.0",168,8,4877.84,3,4,4,11,"Champions"
"13593.0",107,14,5523.69,3,4,4,11,"Champions"
"15095.0",103,10,3141.64,3,4,4,11,"Champions"
"13542.0",376,17,4006.17,3,4,4,11,"Champions"
"12623.0",275,7,3747.84,3,4,4,11,"Champions"
"15625.0",103,9,3236.40,3,4,4,11,"Champions"
"13044.0",290,11,4853.90,3,4,4,11,"Champions"
"17969.0",165,20,2369.94,3,4,4,11,"Champions"
"16699.0",379,7,994.60,4,4,3,11,"Champions"
"14442.0",204,7,5367.02,3,4,4,11,"Champions"
"15768.0",115,34,15601.09,3,4,4,11,"Champions"
"16553.0",162,33,16644.01,3,4,4,11,"Champions"
"13869.0",122,10,8111.57,3,4,4,11,"Champions"
"13093.0",275,55,54943.65,3,4,4,11,"Champions"
"14016.0",161,11,11403.41,3,4,4,11,"Champions"
"13799.0",116,9,2803.57,3,4,4,11,"Champions"
"14565.0",95,5,3859.22,3,3,4,10,"Champions"
"18257.0",38,12,4600.15,2,4,4,10,"Champions"
"15329.0",38,11,2984.33,2,4,4,10,"Champions"
"17396.0",38,14,8807.10,2,4,4,10,"Champions"
"13982.0",38,9,4445.59,2,4,4,10,"Champions"
"15077.0",494,2,2428.08,4,2,4,10,"Champions"
"16749.0",590,2,4387.08,4,2,4,10,"Champions"
"13327.0",38,20,9879.48,2,4,4,10,"Champions"
"13240.0",95,8,1738.52,3,4,3,10,"Champions"
"12737.0",498,2,3710.50,4,2,4,10,"Champions"
"12779.0",37,14,6722.27,2,4,4,10,"Champions"
"16729.0",37,21,7239.92,2,4,4,10,"Champions"
"17696.0",37,27,7679.59,2,4,4,10,"Champions"
"16546.0",290,5,5606.47,3,3,4,10,"Champions"
"17965.0",37,29,7240.98,2,4,4,10,"Champions"
"13477.0",37,11,2834.17,2,4,4,10,"Champions"
"12594.0",37,15,5090.11,2,4,4,10,"Champions"
"17719.0",37,15,5396.04,2,4,4,10,"Champions"
"16308.0",37,7,5120.00,2,4,4,10,"Champions"
"16588.0",385,4,1361.28,4,3,3,10,"Champions"
"15441.0",395,3,1254.21,4,3,3,10,"Champions"
"17442.0",36,15,4620.30,2,4,4,10,"Champions"
"16551.0",95,7,2237.12,3,4,3,10,"Champions"
"13728.0",36,16,2855.17,2,4,4,10,"Champions"
"15227.0",36,9,2488.49,2,4,4,10,"Champions"
"15580.0",376,8,1381.19,3,4,3,10,"Champions"
"17050.0",95,11,4691.79,2,4,4,10,"Champions"
"15998.0",36,16,8308.34,2,4,4,10,"Champions"
"13855.0",500,4,1310.34,4,3,3,10,"Champions"
"13393.0",583,4,1131.45,4,3,3,10,"Champions"
"16841.0",36,12,4006.06,2,4,4,10,"Champions"
"16400.0",94,9,3159.44,2,4,4,10,"Champions"
"13316.0",36,10,13191.57,2,4,4,10,"Champions"
"16409.0",35,12,5709.04,2,4,4,10,"Champions"
"17634.0",35,9,2361.97,2,4,4,10,"Champions"
"13039.0",583,4,1010.73,4,3,3,10,"Champions"
"14913.0",35,8,4073.13,2,4,4,10,"Champions"
"17203.0",35,10,5575.88,2,4,4,10,"Champions"
"18093.0",92,8,4452.71,2,4,4,10,"Champions"
"14136.0",400,5,1570.81,4,3,3,10,"Champions"
"13324.0",35,18,10513.47,2,4,4,10,"Champions"
"12431.0",35,27,10857.97,2,4,4,10,"Champions"
"13201.0",501,4,1240.61,4,3,3,10,"Champions"
"17127.0",428,5,1155.03,4,3,3,10,"Champions"
"13848.0",91,8,3335.00,2,4,4,10,"Champions"
"12813.0",501,3,1687.80,4,3,3,10,"Champions"
"12352.0",35,10,2849.84,2,4,4,10,"Champions"
"14414.0",91,8,2399.33,2,4,4,10,"Champions"
"14410.0",91,11,2651.14,2,4,4,10,"Champions"
"17930.0",35,13,4275.22,2,4,4,10,"Champions"
"17193.0",35,9,2310.04,2,4,4,10,"Champions"
"17028.0",580,3,1593.83,4,3,3,10,"Champions"
"15722.0",35,11,5258.10,2,4,4,10,"Champions"
"16894.0",501,3,1324.06,4,3,3,10,"Champions"
"12928.0",34,12,4304.89,2,4,4,10,"Champions"
"13407.0",578,3,2244.70,4,3,3,10,"Champions"
"13665.0",385,3,1711.66,4,3,3,10,"Champions"
"13527.0",33,12,4683.74,2,4,4,10,"Champions"
"14936.0",33,12,12410.81,2,4,4,10,"Champions"
"12838.0",33,10,3398.48,2,4,4,10,"Champions"
"15946.0",502,3,2304.18,4,3,3,10,"Champions"
"13772.0",33,8,3114.22,2,4,4,10,"Champions"
"12645.0",33,8,3539.30,2,4,4,10,"Champions"
"16466.0",33,15,3838.59,2,4,4,10,"Champions"
"14404.0",33,13,2899.11,2,4,4,10,"Champions"
"16889.0",194,6,2530.90,3,3,4,10,"Champions"
"14837.0",89,9,3460.32,2,4,4,10,"Champions"
"12408.0",32,8,4340.77,2,4,4,10,"Champions"
"15785.0",32,16,5969.93,2,4,4,10,"Champions"
"13634.0",32,16,5073.47,2,4,4,10,"Champions"
"12484.0",32,12,6370.15,2,4,4,10,"Champions"
"17623.0",32,7,2383.67,2,4,4,10,"Champions"
"17164.0",32,7,2467.35,2,4,4,10,"Champions"
"15493.0",32,9,4314.98,2,4,4,10,"Champions"
"15939.0",89,16,9060.39,2,4,4,10,"Champions"
"14307.0",88,10,5071.03,2,4,4,10,"Champions"
"15513.0",32,35,27750.55,2,4,4,10,"Champions"
"15719.0",32,31,10223.06,2,4,4,10,"Champions"
"16612.0",32,9,3245.43,2,4,4,10,"Champions"
"18009.0",234,8,2155.83,3,4,3,10,"Champions"
"12549.0",575,6,1575.68,4,3,3,10,"Champions"
"13156.0",384,3,1586.54,4,3,3,10,"Champions"
"17107.0",32,10,16075.42,2,4,4,10,"Champions"
"13151.0",295,3,2580.74,3,3,4,10,"Champions"
"16209.0",88,9,4146.78,2,4,4,10,"Champions"
"15980.0",88,7,6593.68,2,4,4,10,"Champions"
"13611.0",88,10,3319.53,2,4,4,10,"Champions"
"17137.0",415,6,1133.63,4,3,3,10,"Champions"
"13097.0",32,28,13389.22,2,4,4,10,"Champions"
"16300.0",429,3,1392.43,4,3,3,10,"Champions"
"15696.0",32,13,3906.57,2,4,4,10,"Champions"
"18170.0",32,9,2878.00,2,4,4,10,"Champions"
"13824.0",32,12,3314.76,2,4,4,10,"Champions"
"16771.0",32,10,3967.60,2,4,4,10,"Champions"
"12721.0",31,8,4013.08,2,4,4,10,"Champions"
"15950.0",31,10,7180.71,2,4,4,10,"Champions"
"13381.0",31,12,8224.37,2,4,4,10,"Champions"
"15764.0",87,8,4503.08,2,4,4,10,"Champions"
"16984.0",87,9,10754.80,2,4,4,10,"Champions"
"12924.0",87,12,2469.40,2,4,4,10,"Champions"
"13329.0",31,8,5112.97,2,4,4,10,"Champions"
"13074.0",510,4,1378.74,4,3,3,10,"Champions"
"16098.0",87,14,4448.10,2,4,4,10,"Champions"
"15673.0",87,9,6414.79,2,4,4,10,"Champions"
"12472.0",31,19,17880.59,2,4,4,10,"Champions"
"16187.0",31,15,6911.44,2,4,4,10,"Champions"
"15249.0",31,18,9266.00,2,4,4,10,"Champions"
"17043.0",31,8,2616.55,2,4,4,10,"Champions"
"14524.0",31,13,2933.71,2,4,4,10,"Champions"
"18251.0",86,9,26278.86,2,4,4,10,"Champions"
"13047.0",31,24,8795.16,2,4,4,10,"Champions"
"14676.0",30,12,8356.79,2,4,4,10,"Champions"
"17865.0",30,46,26374.39,2,4,4,10,"Champions"
"15476.0",379,4,2209.98,4,3,3,10,"Champions"
"13384.0",30,11,6680.83,2,4,4,10,"Champions"
"16745.0",86,17,7194.30,2,4,4,10,"Champions"
"16837.0",30,11,3170.98,2,4,4,10,"Champions"
"15749.0",234,3,44534.30,3,3,4,10,"Champions"
"17160.0",30,17,10209.16,2,4,4,10,"Champions"
"17002.0",85,7,2571.55,2,4,4,10,"Champions"
"13360.0",431,4,1553.65,4,3,3,10,"Champions"
"13110.0",30,12,2957.47,2,4,4,10,"Champions"
"13804.0",30,9,3208.52,2,4,4,10,"Champions"
"12949.0",30,22,15526.70,2,4,4,10,"Champions"
"15027.0",30,10,3195.60,2,4,4,10,"Champions"
"14430.0",511,3,1220.90,4,3,3,10,"Champions"
"13695.0",30,16,2770.73,2,4,4,10,"Champions"
"13975.0",30,12,5358.84,2,4,4,10,"Champions"
"13141.0",84,17,7668.58,2,4,4,10,"Champions"
"16331.0",431,6,2037.70,4,3,3,10,"Champions"
"16709.0",84,14,9087.46,2,4,4,10,"Champions"
"14831.0",679,3,1676.57,4,3,3,10,"Champions"
"13623.0",30,10,2566.49,2,4,4,10,"Champions"
"15356.0",30,13,3464.95,2,4,4,10,"Champions"
"15523.0",83,16,17359.99,2,4,4,10,"Champions"
"15410.0",83,10,4685.72,2,4,4,10,"Champions"
"17802.0",81,10,5053.12,2,4,4,10,"Champions"
"16767.0",30,15,8073.80,2,4,4,10,"Champions"
"15259.0",512,4,1182.38,4,3,3,10,"Champions"
"12708.0",29,18,5314.10,2,4,4,10,"Champions"
"17340.0",29,18,22404.82,2,4,4,10,"Champions"
"16067.0",562,3,3395.29,4,2,4,10,"Champions"
"14679.0",381,3,1289.44,4,3,3,10,"Champions"
"14944.0",29,19,9784.67,2,4,4,10,"Champions"
"17690.0",29,20,7448.10,2,4,4,10,"Champions"
"13983.0",29,21,7108.45,2,4,4,10,"Champions"
"16986.0",29,11,4888.75,2,4,4,10,"Champions"
"14938.0",561,2,2322.43,4,2,4,10,"Champions"
"17416.0",29,22,17298.45,2,4,4,10,"Champions"
"15485.0",29,7,5771.51,2,4,4,10,"Champions"
"16218.0",29,13,4439.97,2,4,4,10,"Champions"
"17713.0",381,4,1198.09,4,3,3,10,"Champions"
"17059.0",29,9,5602.53,2,4,4,10,"Champions"
"13209.0",29,13,8509.51,2,4,4,10,"Champions"
"14478.0",381,4,1276.66,4,3,3,10,"Champions"
"13920.0",431,4,1774.68,4,3,3,10,"Champions"
"18094.0",81,13,6391.52,2,4,4,10,"Champions"
"16003.0",29,10,5613.83,2,4,4,10,"Champions"
"13562.0",81,8,4838.18,2,4,4,10,"Champions"
"14994.0",381,5,960.63,4,3,3,10,"Champions"
"17848.0",80,30,3650.90,2,4,4,10,"Champions"
"16628.0",29,7,2318.10,2,4,4,10,"Champions"
"14695.0",518,3,1620.07,4,3,3,10,"Champions"
"15114.0",29,12,3400.12,2,4,4,10,"Champions"
"15590.0",381,5,1496.60,4,3,3,10,"Champions"
"16912.0",28,15,4480.31,2,4,4,10,"Champions"
"16434.0",28,12,2741.74,2,4,4,10,"Champions"
"14748.0",28,10,3152.32,2,4,4,10,"Champions"
"16791.0",28,15,4038.69,2,4,4,10,"Champions"
"17873.0",79,18,6515.88,2,4,4,10,"Champions"
"16928.0",79,29,4113.23,2,4,4,10,"Champions"
"17512.0",28,18,5467.82,2,4,4,10,"Champions"
"14064.0",28,15,3332.42,2,4,4,10,"Champions"
"14466.0",28,13,4646.90,2,4,4,10,"Champions"
"12600.0",28,21,5043.92,2,4,4,10,"Champions"
"12712.0",28,21,7193.66,2,4,4,10,"Champions"
"14035.0",28,9,2856.72,2,4,4,10,"Champions"
"16743.0",28,14,4253.26,2,4,4,10,"Champions"
"12409.0",78,7,23419.29,2,4,4,10,"Champions"
"14564.0",434,2,2605.62,4,2,4,10,"Champions"
"16735.0",78,14,6270.56,2,4,4,10,"Champions"
"13148.0",28,26,8621.81,2,4,4,10,"Champions"
"16158.0",521,9,628.32,4,4,2,10,"Champions"
"12589.0",28,8,4695.66,2,4,4,10,"Champions"
"14543.0",28,39,14906.77,2,4,4,10,"Champions"
"16126.0",28,15,14646.80,2,4,4,10,"Champions"
"17071.0",27,13,3801.20,2,4,4,10,"Champions"
"12805.0",381,4,1434.95,4,3,3,10,"Champions"
"12854.0",78,7,2994.02,2,4,4,10,"Champions"
"15377.0",382,4,1211.75,4,3,3,10,"Champions"
"12726.0",27,11,4014.60,2,4,4,10,"Champions"
"13557.0",27,13,3032.26,2,4,4,10,"Champions"
"17454.0",191,10,1547.94,3,4,3,10,"Champions"
"17191.0",27,15,4836.05,2,4,4,10,"Champions"
"15810.0",78,8,2999.04,2,4,4,10,"Champions"
"12469.0",522,2,3070.54,4,2,4,10,"Champions"
"17069.0",27,14,5794.28,2,4,4,10,"Champions"
"16416.0",26,9,2972.88,2,4,4,10,"Champions"
"15879.0",403,4,1157.30,4,3,3,10,"Champions"
"14882.0",26,14,3628.15,2,4,4,10,"Champions"
"14225.0",434,4,2037.02,4,3,3,10,"Champions"
"17211.0",26,13,4046.65,2,4,4,10,"Champions"
"15439.0",404,4,1269.05,4,3,3,10,"Champions"
"17388.0",77,11,2691.57,2,4,4,10,"Champions"
"16571.0",26,10,4248.74,2,4,4,10,"Champions"
"12609.0",77,9,3435.86,2,4,4,10,"Champions"
"12733.0",233,4,2424.87,3,3,4,10,"Champions"
"14854.0",77,11,4322.86,2,4,4,10,"Champions"
"13450.0",26,13,4120.04,2,4,4,10,"Champions"
"14147.0",77,9,2590.20,2,4,4,10,"Champions"
"14044.0",26,10,3123.10,2,4,4,10,"Champions"
"16560.0",26,8,3048.38,2,4,4,10,"Champions"
"16946.0",382,5,1222.04,4,3,3,10,"Champions"
"17790.0",26,20,2783.61,2,4,4,10,"Champions"
"17838.0",26,13,6722.90,2,4,4,10,"Champions"
"12389.0",402,3,1433.33,4,3,3,10,"Champions"
"15549.0",76,8,2345.96,2,4,4,10,"Champions"
"12975.0",436,6,2100.09,4,3,3,10,"Champions"
"12428.0",25,9,7956.46,2,4,4,10,"Champions"
"15312.0",74,12,2930.19,2,4,4,10,"Champions"
"13451.0",25,11,7190.92,2,4,4,10,"Champions"
"14530.0",25,16,6197.40,2,4,4,10,"Champions"
"17720.0",25,10,2768.91,2,4,4,10,"Champions"
"15203.0",25,15,4400.18,2,4,4,10,"Champions"
"14227.0",25,15,6368.71,2,4,4,10,"Champions"
"14469.0",415,4,2112.21,4,3,3,10,"Champions"
"15365.0",25,13,4557.13,2,4,4,10,"Champions"
"15057.0",274,5,3255.96,3,3,4,10,"Champions"
"15291.0",25,40,13846.56,2,4,4,10,"Champions"
"14512.0",187,7,1223.47,3,4,3,10,"Champions"
"16383.0",74,7,2974.84,2,4,4,10,"Champions"
"12867.0",25,13,7913.29,2,4,4,10,"Champions"
"17663.0",25,17,5175.83,2,4,4,10,"Champions"
"17829.0",298,5,4756.74,3,3,4,10,"Champions"
"15366.0",74,7,2389.08,2,4,4,10,"Champions"
"12823.0",74,18,6501.50,2,4,4,10,"Champions"
"16303.0",25,7,7928.27,2,4,4,10,"Champions"
"16391.0",400,4,1103.61,4,3,3,10,"Champions"
"13178.0",25,21,14059.19,2,4,4,10,"Champions"
"13700.0",25,13,2613.46,2,4,4,10,"Champions"
"14235.0",74,9,4717.99,2,4,4,10,"Champions"
"13555.0",73,13,8999.19,2,4,4,10,"Champions"
"17287.0",25,21,4111.96,2,4,4,10,"Champions"
"18214.0",530,4,1780.34,4,3,3,10,"Champions"
"17061.0",73,11,5232.23,2,4,4,10,"Champions"
"12468.0",187,5,3670.74,3,3,4,10,"Champions"
"15425.0",399,4,1944.57,4,3,3,10,"Champions"
"14101.0",73,13,9961.93,2,4,4,10,"Champions"
"16725.0",301,14,1882.11,3,4,3,10,"Champions"
"15827.0",72,28,3794.07,2,4,4,10,"Champions"
"13819.0",301,6,2642.35,3,3,4,10,"Champions"
"16661.0",539,4,986.63,4,3,3,10,"Champions"
"17610.0",539,5,1529.49,4,3,3,10,"Champions"
"17591.0",72,8,2776.67,2,4,4,10,"Champions"
"15841.0",72,9,2742.41,2,4,4,10,"Champions"
"12868.0",185,8,2247.06,3,4,3,10,"Champions"
"14431.0",302,4,2614.20,3,3,4,10,"Champions"
"12455.0",72,10,5879.95,2,4,4,10,"Champions"
"14634.0",437,4,2124.46,4,3,3,10,"Champions"
"16520.0",185,6,2482.62,3,3,4,10,"Champions"
"13397.0",72,10,3191.87,2,4,4,10,"Champions"
"15674.0",72,13,6948.23,2,4,4,10,"Champions"
"17894.0",71,18,2453.38,2,4,4,10,"Champions"
"13901.0",71,15,5676.34,2,4,4,10,"Champions"
"17819.0",71,12,6612.52,2,4,4,10,"Champions"
"14978.0",71,10,3142.14,2,4,4,10,"Champions"
"15098.0",181,3,39916.50,3,3,4,10,"Champions"
"14450.0",180,7,1128.44,3,4,3,10,"Champions"
"16182.0",71,9,9971.65,2,4,4,10,"Champions"
"13641.0",640,5,1016.47,4,3,3,10,"Champions"
"15912.0",177,9,1074.70,3,4,3,10,"Champions"
"16276.0",176,3,2629.39,3,3,4,10,"Champions"
"18242.0",71,8,3605.21,2,4,4,10,"Champions"
"17822.0",419,5,2188.50,4,3,3,10,"Champions"
"16320.0",171,6,5628.99,3,3,4,10,"Champions"
"17021.0",441,6,1182.22,4,3,3,10,"Champions"
"15389.0",171,5,2733.80,3,3,4,10,"Champions"
"15321.0",70,12,6709.73,2,4,4,10,"Champions"
"15202.0",419,3,6001.49,4,2,4,10,"Champions"
"16176.0",420,4,2052.69,4,3,3,10,"Champions"
"13288.0",442,5,927.61,4,3,3,10,"Champions"
"15062.0",70,8,2585.62,2,4,4,10,"Champions"
"14584.0",168,8,1747.91,3,4,3,10,"Champions"
"13856.0",168,11,1142.03,3,4,3,10,"Champions"
"14409.0",70,9,3756.09,2,4,4,10,"Champions"
"14916.0",70,8,3042.95,2,4,4,10,"Champions"
